,x,y
0,7,-5.698970004336019
1,2,-7.698970004336019
2,3,-7.161150909262744
3,8,-8.537602002101044
4,9,-5.130768280269024
5,15,-4.0
6,1,-6.481486060122113
7,1,-4.0
8,2,-4.0
9,8,-8.886056647693163
10,3,-8.657577319177793
11,3,-4.0
12,5,-7.795880017344075
13,2,-8.356547323513812
14,5,-7.657577319177793
15,4,-7.769551078621726
16,11,-4.0
17,6,-9.42021640338319
18,3,-4.0
19,2,-5.7447274948966935
20,9,-4.0
21,8,-4.0
22,7,-4.0
23,5,-4.0
24,7,-6.958607314841775
25,1,-5.721246399047171
26,9,-6.0
27,5,-4.920818753952375
28,1,-6.795880017344075
29,9,-4.0
30,15,-4.0
31,4,-6.886056647693163
32,5,-9.568636235841012
33,3,-7.6020599913279625
34,9,-4.0
35,4,-5.958607314841775
36,6,-6.522878745280337
37,0,-4.0
38,47,-4.0
39,8,-6.3979400086720375
40,2,-5.6777807052660805
41,27,-5.130768280269024
42,20,-4.698970004336019
43,5,-5.356547323513812
44,10,-4.0
45,1,-6.337242168318426
46,0,-4.0
47,21,-6.537602002101044
48,14,-4.42021640338319
49,4,-4.0
50,14,-4.0
51,1,-5.6777807052660805
52,4,-5.3979400086720375
53,8,-8.638272163982407
54,1,-6.721246399047171
55,5,-7.318758762624412
56,3,-8.119186407719209
57,21,-4.0
58,14,-5.346787486224656
59,30,-6.229147988357856
60,17,-8.585026652029182
61,11,-8.886056647693163
62,0,-6.853871964321762
63,8,-9.102372908709558
64,5,-7.721246399047171
65,2,-5.7447274948966935
66,12,-5.017728766960432
67,7,-9.602059991327963
68,6,-7.376750709602099
69,2,-8.721246399047171
70,5,-8.065501548756432
71,5,-8.142667503568731
72,11,-8.337242168318426
73,13,-7.6777807052660805
74,2,-7.823908740944319
75,4,-7.050609993355087
76,13,-9.920818753952375
77,5,-7.481486060122113
78,39,-8.853871964321762
79,9,-4.0
80,7,-7.008773924307505
81,8,-5.698970004336019
82,6,-5.468521082957745
83,12,-4.585026652029182
84,0,-4.0
85,1,-4.494850021680094
86,15,-5.167491087293763
87,6,-7.853871964321762
88,3,-5.823908740944319
89,29,-5.113509274827518
90,30,-5.619788758288394
91,11,-4.0
92,21,-4.0
93,14,-4.0
94,10,-4.0
95,7,-4.0
96,19,-5.221848749616356
97,1,-6.096910013008056
98,4,-5.301029995663981
99,10,-4.7447274948966935
100,0,-6.107905397309519
101,5,-4.0
102,9,-7.795880017344075
103,1,-4.0
104,0,-5.119186407719209
105,1,-6.259637310505756
106,12,-7.075720713938118
107,3,-4.0
108,7,-5.481486060122113
109,6,-4.2441251443275085
110,14,-4.721246399047171
111,1,-4.0
112,19,-6.309803919971486
113,12,-5.060480747381382
114,0,-6.187086643357144
115,20,-6.769551078621726
116,10,-7.3979400086720375
117,14,-8.853871964321762
118,11,-7.958607314841775
119,0,-5.187086643357144
120,21,-5.3872161432802645
121,2,-4.657577319177793
122,7,-8.698970004336019
123,5,-6.214670164989233
124,1,-6.522878745280337
125,9,-6.154901959985743
126,6,-6.045757490560675
127,23,-6.055517327849832
128,23,-5.769551078621726
129,4,-6.6777807052660805
130,4,-7.920818753952375
131,5,-5.251811972993799
132,19,-9.55284196865778
133,10,-7.619788758288394
134,14,-8.136677139879543
135,16,-10.259637310505756
136,18,-9.173925197299173
137,13,-8.318758762624412
138,7,-9.886056647693163
139,11,-6.167491087293763
140,20,-9.795880017344075
141,5,-8.022276394711152
142,12,-7.045757490560675
143,13,-9.0
144,14,-4.0
145,15,-9.102372908709558
146,16,-9.744727494896694
147,18,-9.568636235841012
148,10,-9.086186147616283
149,20,-7.958607314841775
150,6,-10.113509274827518
151,12,-4.0
152,34,-4.0
153,9,-9.346787486224656
154,10,-9.161150909262744
155,14,-9.2518119729938
156,15,-4.0
157,2,-6.3979400086720375
158,10,-9.744727494896694
159,4,-7.42021640338319
160,12,-5.050609993355088
161,4,-4.0
162,4,-6.113509274827518
163,4,-4.0
164,8,-4.0
165,2,-6.0915149811213505
166,8,-8.3767507096021
167,6,-5.6777807052660805
168,0,-5.455931955649724
169,21,-5.301029995663981
170,7,-8.920818753952375
171,21,-4.0
172,13,-6.619788758288394
